YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,PS,WS2M,WD2M,WS10M,WD10M,RH2M,T2MWET,T2MDEW,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,TOA_SW_DWN
2022,11,1,0,14.26,0.28,9.89,100.67,1.2,199.73,2.55,196.72,98,14.11,13.97,0,0,0,0,0,0
2022,11,1,1,14.26,0.24,9.95,100.69,1.11,204.58,2.44,201.8,98.19,14.13,14.01,0,0,0,0,0,0
2022,11,1,2,14.19,0.3,9.89,100.7,1.01,212.71,2.27,212.21,98.5,14.08,13.97,0,0,0,0,0,0
2022,11,1,3,14.17,0.33,9.89,100.69,0.99,215.07,2.15,215.08,98.31,14.05,13.93,0,0,0,0,0,0
2022,11,1,4,14.07,0.26,9.83,100.69,1.01,213.32,2.09,211.55,98.38,13.95,13.83,0,0,0,0,0,0
2022,11,1,5,13.88,0.17,9.7,100.68,1,208.97,2.08,207.24,98.62,13.78,13.69,0,0,0,0,0,0
2022,11,1,6,13.78,0.08,9.64,100.69,1.01,207.76,2.15,207.22,98.69,13.69,13.59,0,0.03,0.03,0.05,0.03,0.13
2022,11,1,7,14.06,0.03,9.77,100.72,1.09,210.05,2.24,210.59,98.19,13.93,13.8,0.1,0.2,0.39,0.19,0.16,0.91
2022,11,1,8,15.05,0.01,10.25,100.74,1.26,219.21,2.39,219.83,96.19,14.76,14.47,0.48,0.42,0.91,0.29,0.32,1.69
2022,11,1,9,16.55,0.01,10.62,100.73,1.11,236.76,2.12,240.41,90.56,15.79,15.02,1.08,0.62,1.39,0.3,0.48,2.29
2022,11,1,10,18.4,0.01,10.56,100.7,0.97,254.62,2,259.17,80.06,16.65,14.92,1.75,0.85,1.71,0.28,0.7,2.68
2022,11,1,11,19.62,0.01,10.38,100.64,0.93,264.72,1.97,267.5,73.19,17.16,14.71,2.48,1.1,1.99,0.47,0.83,2.84
2022,11,1,12,20.4,0.01,10.38,100.57,0.97,272.31,2.09,274.73,69.56,17.55,14.68,2.05,0.97,1.9,0.54,0.67,2.74
2022,11,1,13,20.7,0.01,10.38,100.52,1.05,279.88,2.34,282.13,68.12,17.67,14.63,1.58,0.94,1.63,0.76,0.57,2.41
2022,11,1,14,20.47,0.01,10.38,100.51,1.08,286.86,2.46,289.07,69.12,17.55,14.63,0.77,0.69,1.18,0.91,0.36,1.85
2022,11,1,15,19.86,0.01,10.5,100.55,1,293.55,2.33,295.79,72.56,17.33,14.8,0.2,0.44,0.61,1.15,0.18,1.11
2022,11,1,16,17.9,0,10.68,100.62,0.71,296.28,1.94,297.91,83.44,16.49,15.08,0.02,0.11,0.09,0.6,0.07,0.27
2022,11,1,17,15.73,0,10.07,100.71,0.81,300.77,2.37,301.64,90.88,15,14.26,0,0,0,0,0,0
2022,11,1,18,15.51,0,9.95,100.79,0.92,306.67,2.6,307.32,90.88,14.78,14.05,0,0,0,0,0,0
2022,11,1,19,14.77,0,9.83,100.87,0.97,311.1,2.59,310.84,94.06,14.31,13.85,0,0,0,0,0,0
2022,11,1,20,14.05,0,9.64,100.95,1.08,312.66,2.68,310.98,97.25,13.85,13.65,0,0,0,0,0,0
2022,11,1,21,13.54,0,9.52,101.01,1.13,312.49,2.75,309.81,99.19,13.49,13.44,0,0,0,0,0,0
2022,11,1,22,13.18,0,9.4,101.05,1.13,313.32,2.77,311.11,100,13.19,13.21,0,0,0,0,0,0
2022,11,1,23,12.87,0,9.22,101.09,1.17,316.62,2.87,315.88,100,12.91,12.97,0,0,0,0,0,0
2022,11,2,0,12.55,0,9.03,101.13,1.26,321.28,3.04,320.53,100,12.6,12.65,0,0,0,0,0,0
2022,11,2,1,12.14,0,8.79,101.17,1.33,324.34,3.16,323.24,100,12.16,12.19,0,0,0,0,0,0
2022,11,2,2,11.62,0,8.48,101.21,1.36,326.49,3.2,325.15,100,11.64,11.65,0,0,0,0,0,0
2022,11,2,3,11.05,0,8.18,101.25,1.35,327.78,3.16,326.9,100,11.09,11.14,0,0,0,0,0,0
2022,11,2,4,10.47,0,7.87,101.33,1.24,329.22,3.03,328.4,100,10.55,10.65,0,0,0,0,0,0
2022,11,2,5,9.9,0,7.69,101.42,1.12,332.54,2.84,331.39,100,10.07,10.23,0,0,0,0,0,0
2022,11,2,6,9.42,0,7.51,101.52,1.1,336.91,2.78,335.74,100,9.64,9.86,0,0.04,0.03,0.19,0.04,0.12
2022,11,2,7,10.65,0,7.45,101.61,1.25,343.27,2.86,341.52,94.56,10.23,9.83,0.12,0.49,0.48,1.56,0.21,0.89
